1423773938 procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
1423773938  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
1423774054  0  0      0 396552  89920 187544    0    0     0     0 1046  142  0  0 100  0
1423774055  0  0      0 396552  89920 187544    0    0     0     0 1099  166  0  0 100  0
1423774056  0  0      0 396560  89920 187544    0    0     0    12 1062  176  0  0 100  0
1423774057  0  0      0 396576  89920 187544    0    0     0     0 1061  186  0  0 100  0
1423774058  0  0      0 396576  89920 187544    0    0     0     0 1059  168  0  0 100  0
1423774059  0  0      0 396576  89920 187544    0    0     0     0 1089  185  0  0 100  0
1423774060  0  0      0 396576  89920 187544    0    0     0     0 1053  167  0  0 100  0
1423774061  0  0      0 396576  89920 187544    0    0     0     0 1059  156  0  0 100  0
1423774062  0  0      0 396576  89928 187536    0    0     0    48 1074  194  0  0 100  0
1423774063  2  0      0 396272  89928 187536    0    0     0     0 3439  641  0  5 95  0
1423774064  1  0      0 396072  89928 187544    0    0     0     0 10756 1729  0 20 80  0
1423774065  0  0      0 396200  89928 187544    0    0     0     0 10873 1722  0 18 82  0
1423774066  0  0      0 396304  89928 187544    0    0     0    16 9396 1738  1 18 81  0
1423774067  0  0      0 396740  89928 187548    0    0     0     0 3201  884  1  6 93  0
1423774068  0  0      0 396828  89936 187540    0    0     0    76 1063  170  0  0 100  0
1423774069  1  0      0 396652  89936 187548    0    0     0     0 5504  991  0  8 92  0
1423774070  0  0      0 396652  89936 187548    0    0     0     0 10825 1702  0 17 83  0
1423774071  0  0      0 396852  89936 187548    0    0     0     0 10747 1695  0 17 83  0
1423774072  0  0      0 396764  89936 187548    0    0     0     0 10698 1662  0 18 81  0
1423774073  1  0      0 396700  89936 187548    0    0     0     0 10602 1641  0 16 84  0
1423774074  2  0      0 396764  89936 187548    0    0     0     0 10865 1720  0 18 82  0
1423774075  0  0      0 396708  89936 187552    0    0     0     0 10906 1718  0 19 81  0
1423774076  3  0      0 396708  89936 187548    0    0     0    12 11016 1790  0 21 79  0
1423774077  0  0      0 396724  89936 187548    0    0     0     0 10925 1764  0 17 83  0
1423774078  2  0      0 396828  89936 187548    0    0     0     0 10851 1767  0 15 85  0
1423774080  3  0      0 396732  89944 187540    0    0     0    64 10595 1735  0 20 79  0
1423774081  0  0      0 396700  89944 187548    0    0     0     0 10793 1693  0 17 83  0
1423774082  0  0      0 396652  89944 187548    0    0     0     0 10740 1665  0 17 83  0
1423774083  0  0      0 396756  89944 187548    0    0     0     0 10861 1719  0 19 81  0
1423774084  1  0      0 396604  89944 187548    0    0     0     0 10941 1649  0 17 83  0
1423774085  1  0      0 396644  89944 187548    0    0     0     0 10810 1703  0 18 82  0
1423774086  1  0      0 397116  89944 187548    0    0     0    12 6486 1435  0 12 88  0
1423774087  0  0      0 397264  89944 187548    0    0     0     0 1082  186  0  0 100  0
1423774088  0  0      0 397264  89944 187548    0    0     0     0 1043  139  0  0 100  0
1423774089  0  0      0 397264  89944 187548    0    0     0     0 1051  135  0  0 100  0
1423774090  1  0      0 396928  89944 187548    0    0     0     0 2036  398  0  2 97  0
1423774091  0  0      0 396696  89944 187548    0    0     0     0 10732 1717  0 17 83  0
1423774092  0  0      0 397000  89952 187540    0    0     0   112 10699 1687  0 18 82  0
1423774093  0  0      0 396856  89952 187548    0    0     0     0 10822 1774  0 18 82  0
1423774094  1  0      0 396840  89952 187548    0    0     0     0 10862 1675  0 19 81  0
1423774095  1  0      0 396896  89952 187548    0    0     0     0 11163 1791  0 19 80  0
1423774096  1  0      0 396912  89952 187548    0    0     0    12 10879 1692  0 21 79  0
1423774097  1  0      0 397008  89952 187548    0    0     0     0 10545 1640  0 15 85  0
1423774098  0  0      0 396912  89952 187548    0    0     0     0 10681 1690  0 18 82  0
1423774099  2  0      0 396848  89952 187548    0    0     0     0 10804 1710  0 19 81  0
1423774100  0  0      0 396920  89952 187548    0    0     0     0 10889 1661  0 18 82  0
1423774101  0  0      0 396776  89952 187548    0    0     0     0 10641 1660  0 17 82  0
1423774102  3  0      0 396840  89960 187540    0    0     0    44 10692 1663  0 18 82  0
1423774103  0  0      0 396848  89960 187548    0    0     0     0 10842 1692  0 16 83  0
1423774104  0  0      0 396744  89960 187548    0    0     0     0 10879 1703  0 15 84  0
1423774105  2  0      0 396712  89960 187548    0    0     0     0 10892 1716  0 18 82  0
1423774106  0  0      0 396688  89960 187548    0    0     0    12 10749 1681  0 19 81  0
1423774107  0  0      0 396752  89960 187548    0    0     0     4 11013 1729  0 18 82  0
1423774108  0  0      0 397032  89960 187548    0    0     0     0 10924 1703  0 19 81  0
1423774109  1  0      0 396816  89960 187548    0    0     0     0 10812 1701  0 20 80  0
1423774110  2  0      0 396816  89960 187548    0    0     0     0 10741 1702  0 19 81  0
1423774111  1  0      0 396808  89960 187548    0    0     0     0 10809 1701  0 19 81  0
1423774112  2  0      0 396632  89968 187540    0    0     0    52 10712 1685  0 18 82  0
1423774113  1  0      0 394352  89968 187552    0    0     0     0 11050 1927 18 21 61  0
1423774114  0  0      0 393964  89968 187556    0    0     0     0 11282 2023  1 23 75  0
1423774115  3  0      0 393916  89968 187556    0    0     0     0 10774 1786  0 18 81  0
1423774116  1  0      0 392992  89968 187556    0    0     0    16 11439 2256 27 25 49  0
1423774117  0  0      0 392744  89968 187560    0    0     0     0 11034 1769  0 20 79  0
1423774118  2  0      0 392696  89968 187560    0    0     0     0 10623 1772  2 18 80  0
1423774119  0  0      0 392700  89976 187552    0    0     0    80 10715 1751  0 19 81  0
1423774120  2  0      0 392636  89976 187560    0    0     0     0 10760 1673  0 19 81  0
1423774121  0  0      0 392668  89976 187560    0    0     0     0 10897 1709  0 17 83  0
1423774122  0  0      0 392620  89976 187564    0    0     0     0 11359 2005  0 21 79  0
1423774123  0  0      0 392716  89976 187564    0    0     0     0 10961 1667  0 20 80  0
1423774124  1  0      0 392772  89976 187564    0    0     0     0 10686 1736  0 19 81  0
1423774125  1  0      0 392804  89976 187564    0    0     0     0 10861 1687  0 17 83  0
1423774126  0  0      0 392836  89984 187552    0    0     0    76 10694 1667  0 18 82  0
1423774127  2  0      0 392844  89984 187560    0    0     0     0 11378 2004  0 17 83  0
1423774128  2  0      0 392868  89984 187560    0    0     0     0 10905 1818  0 19 81  0
1423774129  1  0      0 392684  89984 187560    0    0     0     0 10791 1790  0 18 81  0
1423774131  0  0      0 392836  89984 187560    0    0     0     0 10700 1721  0 18 82  0
1423774132  0  0      0 392812  89984 187560    0    0     0     0 10635 1668  0 18 82  0
1423774133  1  0      0 392868  89984 187560    0    0     0    80 10838 1749  0 16 84  0
1423774134  1  0      0 392772  89984 187560    0    0     0     0 10872 1681  0 18 82  0
1423774135  0  0      0 392868  89984 187560    0    0     0     0 11336 1916  0 20 80  0
1423774136  1  0      0 392588  89984 187560    0    0     0     0 11289 2015  1 19 80  0
1423774137  2  0      0 392732  89984 187560    0    0     0    12 10702 1789  0 20 80  0
1423774138  2  0      0 392748  89984 187560    0    0     0     0 10607 1672  0 19 81  0
1423774139  0  0      0 392844  89984 187560    0    0     0     0 11060 1759  0 18 81  0
1423774140  0  0      0 393372  89984 187560    0    0     0     4 11209 1777  0 19 80  0
1423774141  1  0      0 393388  89984 187560    0    0     0     0 10811 1708  0 20 80  0
1423774142  1  0      0 393332  89992 187552    0    0     0    56 11008 1824  0 19 80  1
1423774143  1  0      0 393388  89992 187560    0    0     0     0 10814 1666  0 18 82  0
1423774144  0  0      0 393284  89992 187560    0    0     0     0 10687 1660  0 18 82  0
1423774145  2  0      0 393492  89992 187560    0    0     0     0 10806 1676  0 19 81  0
1423774146  2  0      0 393396  89992 187560    0    0     0    12 11036 1724  0 17 83  0
1423774147  2  0      0 393348  89992 187560    0    0     0    16 10503 1686  0 15 85  0
1423774148  0  0      0 393252  89992 187560    0    0     0     0 10751 1741  0 20 80  0
1423774149  1  0      0 393436  89992 187560    0    0     0     0 11064 1764  0 21 79  0
1423774150  0  0      0 393388  89992 187560    0    0     0     0 11065 1769  0 19 81  0
1423774151  0  0      0 393316  89992 187560    0    0     0     0 10844 1718  0 20 80  0
1423774152  0  0      0 393172  90000 187552    0    0     0    60 10840 1759  0 17 83  0
1423774153  1  0      0 393300  90000 187560    0    0     0     0 10653 1619  0 19 81  0
1423774154  1  0      0 393356  90000 187560    0    0     0     0 10814 1712  0 17 83  0
1423774155  0  0      0 393292  90000 187560    0    0     0     0 10939 1763  0 18 82  0
1423774156  1  0      0 393388  90000 187560    0    0     0    12 10720 1715  0 18 82  0
1423774157  0  0      0 393220  90000 187560    0    0     0     0 10930 1717  0 16 84  0
1423774158  1  0      0 393316  90008 187552    0    0     0    52 10661 1660  0 18 82  0
1423774159  0  0      0 393428  90008 187560    0    0     0     0 10649 1666  0 18 82  0
1423774160  0  0      0 393420  90008 187560    0    0     0     0 11086 1768  0 20 80  0
1423774161  1  0      0 393284  90008 187560    0    0     0     0 10715 1651  0 16 84  0
1423774162  0  0      0 393380  90008 187560    0    0     0     0 10788 1707  0 18 82  0
1423774163  1  0      0 393412  90008 187560    0    0     0     0 10812 1675  0 17 83  0
1423774164  0  0      0 393460  90008 187560    0    0     0     0 10731 1673  0 18 82  0
1423774165  1  0      0 393260  90008 187560    0    0     0     0 10935 1723  0 19 81  0
1423774166  0  0      0 393176  90008 187560    0    0     0    16 10871 1735  0 17 82  0
1423774167  0  0      0 393280  90008 187564    0    0     0     0 10680 1662  0 18 82  0
1423774168  0  0      0 393048  90008 187568    0    0     0     0 11064 1789  0 16 83  0
1423774169  0  0      0 393160  90008 187568    0    0     0     0 11024 1759  0 19 81  0
1423774170  0  0      0 393224  90008 187568    0    0     0     0 11680 1954  0 16 84  0
1423774171  0  0      0 393192  90008 187568    0    0     0     0 10799 1811  0 20 80  0
1423774172  1  0      0 393096  90016 187560    0    0     0   164 11334 1974  0 18 81  0
1423774173  1  0      0 394292  90016 187568    0    0     0     0 6366 1707  1 12 87  0
1423774174  0  0      0 393896  90016 187568    0    0     0     0 1063  193  1  0 99  0
1423774175  0  0      0 394016  90016 187568    0    0     0     0 1099  190  0  0 100  0
1423774176  0  0      0 394016  90016 187568    0    0     0    12 1084  230  0  0 100  0
1423774177  0  0      0 394016  90016 187568    0    0     0     0 1060  186  0  0 100  0
1423774178  0  0      0 394016  90016 187564    0    0     0     0 1059  166  0  0 100  0
1423774179  0  0      0 394016  90016 187564    0    0     0     0 1085  183  0  0 100  0
1423774180  0  0      0 394016  90016 187564    0    0     0     0 1056  166  0  0 100  0
1423774181  0  0      0 394016  90024 187556    0    0     0    60 1077  190  0  0 100  0
1423774183  0  0      0 394016  90024 187556    0    0     0     0 1085  183  0  0 100  0
1423774184  0  0      0 394016  90024 187564    0    0     0     0 1055  161  0  0 100  0
1423774185  0  0      0 394016  90024 187564    0    0     0     0 1083  180  0  0 100  0
1423774186  0  0      0 393992  90024 187564    0    0     0    12 1126  306  0  0 99  0
1423774187  1  0      0 393992  90024 187564    0    0     0     0 1087  190  0  0 100  0
1423774188  0  0      0 394016  90024 187564    0    0     0     0 1076  228  0  0 100  0
1423774189  0  0      0 394016  90024 187564    0    0     0     0 1061  166  0  0 100  0
1423774190  0  0      0 394016  90024 187564    0    0     0     0 1065  199  0  0 100  0
1423774191  0  0      0 394016  90024 187564    0    0     0     0 1091  202  0  0 100  0
1423774192  0  0      0 394016  90032 187556    0    0     0    44 1076  184  0  0 100  0
1423774193  1  0      0 393840  90032 187556    0    0     0     0 3062  539  0  5 95  0
1423774194  0  0      0 393896  90032 187564    0    0     0     0 10693 1666  0 17 83  0
1423774195  0  0      0 393816  90032 187564    0    0     0     0 11162 1864  0 17 83  0
1423774196  0  0      0 393952  90032 187564    0    0     0    12 10850 1700  0 19 81  0
1423774197  0  0      0 393936  90032 187564    0    0     0     0 11481 1958  0 21 79  0
1423774198  0  0      0 393968  90032 187564    0    0     0     4 10721 1697  0 20 80  0
1423774199  0  0      0 393992  90040 187556    0    0     0    60 10779 1764  0 19 81  0
1423774200  3  0      0 394184  90040 187564    0    0     0     0 10514 1647  0 18 82  0
1423774201  2  0      0 394216  90040 187564    0    0     0     0 10734 1700  0 20 80  0
1423774202  0  0      0 394064  90040 187564    0    0     0     0 10780 1679  0 16 84  0
1423774203  0  0      0 392384  90044 187560    0    0     0     4 8588 1375  0 15 85  0
1423774204  1  0      0 393348  90044 187564    0    0     0     0 3266  474  0  5 95  0
1423774205  0  0      0 393564  90044 187564    0    0     0     0 10924 1671  0 17 83  0
1423774206  0  0      0 393324  90044 187564    0    0     0    12 11015 1744  0 20 80  0
1423774207  0  0      0 393412  90044 187564    0    0     0     0 11040 1751  0 18 82  0
1423774208  0  0      0 393564  90052 187556    0    0     0    60 10793 1675  0 17 83  0
1423774209  0  0      0 393436  90052 187564    0    0     0     0 11619 1949  1 19 81  0
1423774210  1  0      0 393876  90052 187564    0    0     0     0 10547 1642  0 17 82  0
1423774211  0  0      0 393720  90052 187564    0    0     0     0 11546 2589  1 20 79  0
1423774212  0  0      0 393720  90052 187564    0    0     0    80 11047 1729  0 19 81  0
1423774213  0  0      0 393472  90052 187564    0    0     0     0 11079 1788  0 19 81  0
1423774214  0  0      0 393680  90052 187564    0    0     0     0 11460 1901  0 20 80  0
1423774215  0  0      0 393592  90052 187568    0    0     0     0 11772 2032  0 20 80  0
1423774216  0  0      0 393556  90052 187568    0    0     0    16 10732 1737  1 19 80  0
1423774217  0  0      0 393444  90052 187564    0    0     0     0 11199 1752  0 18 82  0
1423774218  0  0      0 393492  90052 187572    0    0     0     0 10838 1690  0 19 81  0
1423774219  2  0      0 393276  90052 187572    0    0     0     0 10587 1628  0 18 82  0
1423774220  0  0      0 393444  90060 187564    0    0     0    76 10935 1739  0 20 79  0
1423774221  1  0      0 393388  90060 187572    0    0     0     0 11509 2242  0 19 81  0
1423774222  0  0      0 393812  90060 187572    0    0     0     0 10762 1691  0 17 82  0
1423774223  0  0      0 393692  90060 187576    0    0     0     0 10654 1686  0 17 83  0
1423774224  0  0      0 393732  90060 187576    0    0     0     0 10872 1671  0 18 81  0
1423774225  0  0      0 393748  90060 187576    0    0     0     0 11047 1735  0 21 79  0
1423774226  2  0      0 393868  90060 187576    0    0     0    12 11572 1869  0 20 80  0
1423774227  0  0      0 393716  90060 187572    0    0     0     0 11598 1931  0 19 81  0
1423774228  0  0      0 393756  90068 187572    0    0     0    64 10834 1714  0 18 82  0
1423774229  0  0      0 393812  90068 187572    0    0     0     0 10657 1623  0 20 80  0
1423774230  0  0      0 393740  90068 187572    0    0     0     0 11060 1731  0 19 80  0
1423774231  2  0      0 393904  90068 187572    0    0     0     0 11218 1719  0 18 82  0
1423774232  2  0      0 393880  90068 187572    0    0     0     0 11596 1821  0 21 79  0
1423774234  1  0      0 393680  90068 187572    0    0     0     0 10994 1738  0 18 82  0
1423774235  1  0      0 393840  90068 187572    0    0     0     0 10832 1681  0 17 83  0
1423774236  0  0      0 393816  90076 187564    0    0     0    32 10963 1691  0 20 80  0
1423774237  1  0      0 393816  90076 187572    0    0     0    12 11236 1828  0 21 79  0
1423774238  0  0      0 393880  90076 187572    0    0     0     0 11896 2019  0 20 80  0
1423774239  0  0      0 393752  90076 187572    0    0     0     0 10766 1702  0 20 79  0
1423774240  1  0      0 393704  90076 187572    0    0     0     0 10759 1679  0 17 83  0
1423774241  1  0      0 393888  90076 187572    0    0     0     0 10705 1598  0 19 81  0
1423774242  1  0      0 393788  90084 187564    0    0     0    48 10868 1651  0 18 82  0
1423774243  0  0      0 393708  90084 187572    0    0     0     0 11208 1769  0 16 84  0
1423774244  1  0      0 393884  90084 187572    0    0     0     0 11646 1883  0 18 82  0
1423774245  3  0      0 393732  90084 187572    0    0     0     0 11017 1746  0 18 82  0
1423774246  1  0      0 393732  90084 187572    0    0     0    12 10757 1740  0 18 82  0
1423774247  1  0      0 393708  90092 187564    0    0     0    48 11076 1792  0 18 82  0
1423774248  2  0      0 393724  90092 187572    0    0     0     8 11008 1685  0 16 84  0
1423774249  0  0      0 393812  90092 187572    0    0     0     0 11092 1719  0 19 81  0
1423774250  2  0      0 393748  90092 187572    0    0     0     0 10725 1672  0 19 81  0
1423774251  0  0      0 393660  90092 187572    0    0     0     0 11350 1835  0 21 79  0
1423774252  0  0      0 393580  90092 187572    0    0     0     0 11401 1766  0 19 80  0
1423774253  0  0      0 393852  90100 187572    0    0     0    88 10763 1759  0 18 81  1
1423774254  1  0      0 393860  90100 187572    0    0     0     0 10574 1622  0 19 81  0
1423774255  0  0      0 393764  90100 187572    0    0     0     0 11377 1779  0 17 83  0
1423774256  2  0      0 393828  90100 187572    0    0     0    12 11156 1775  0 19 81  0
1423774257  1  0      0 393708  90100 187572    0    0     0     0 11174 1813  0 22 78  0
1423774258  1  0      0 393748  90100 187576    0    0     0     0 10699 1654  0 16 84  0
1423774259  2  0      0 393876  90100 187576    0    0     0     0 11553 1907  0 21 79  0
1423774260  0  0      0 393772  90108 187568    0    0     0    48 11394 1837  0 17 83  0
1423774261  0  0      0 393796  90108 187580    0    0     0     0 10436 1620  0 17 83  0
1423774262  2  0      0 393852  90108 187580    0    0     0     0 10857 1647  0 18 82  0
1423774263  1  0      0 393612  90108 187580    0    0     0     0 10985 1687  0 19 81  0
1423774264  1  0      0 393596  90108 187580    0    0     0     0 10949 1698  0 18 82  0
1423774265  0  0      0 393740  90108 187580    0    0     0     0 10882 1752  0 16 84  0
1423774266  0  0      0 393668  90116 187572    0    0     0    28 11926 2046  0 22 77  0
1423774267  2  0      0 393608  90116 187584    0    0     0     0 11662 1808  0 20 80  0
1423774268  0  0      0 393624  90116 187584    0    0     0     0 10887 1701  0 18 82  0
1423774269  0  0      0 393664  90116 187584    0    0     0     0 11106 1677  0 19 81  0
1423774270  1  0      0 393504  90116 187584    0    0     0     0 11216 1789  0 16 84  0
1423774271  1  0      0 393480  90116 187584    0    0     0     0 11187 1810  0 18 82  0
1423774272  1  0      0 393560  90124 187576    0    0     0    72 11972 1923  0 20 80  0
1423774273  0  0      0 393672  90124 187584    0    0     0     0 11163 1812  0 17 83  0
1423774274  0  0      0 393464  90124 187584    0    0     0     0 11704 1982  0 23 77  0
1423774275  0  0      0 393568  90124 187584    0    0     0     0 11248 1827  0 20 80  0
1423774276  1  0      0 393664  90124 187584    0    0     0    12 11220 1805  0 17 83  0
